Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1.0,4.110873864173311,3,65.0,8450.0,1,1,3,3,0,4,0,5,2,2,0,5,7.0,2.23606797749979,2.8284271247461903,2.8284271247461903,1,1,12,13,1,5.2832037287379885,2,4,2,2,4,3,2,26.570660511172846,6,0.0,12.24744871391589,856.0,1,0,1,5,29.257477676655586,29.223278392404914,0.0,41.352146256270665,1.0,0.0,2.0,1.0,3.0,1.0,2,8.0,6,0.0,3,1,2.1972245773362196,2,2.0,548.0,5,5,2,0.0,4.127134385045092,0.0,0.0,0.0,0.0,3,4,1,0.0,2.0,2008.0,8,4,208500.0
2.0,3.044522437723423,3,80.0,9600.0,1,1,3,3,0,2,0,24,1,2,0,2,6.0,2.7386127875258306,5.916079783099616,5.916079783099616,1,1,8,8,2,0.0,3,4,1,2,4,1,0,31.272991542223778,6,0.0,16.852299546352718,1262.0,1,0,1,5,35.52463933666322,0.0,0.0,35.52463933666322,0.0,0.0,2.0,0.0,3.0,1.0,3,6.0,6,1.0,5,1,3.58351893845611,2,2.0,460.0,5,5,2,5.700443573390687,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,5.0,2007.0,8,4,181500.0
3.0,4.110873864173311,3,68.0,11250.0,1,1,0,3,0,4,0,5,2,2,0,5,7.0,2.23606797749979,3.1622776601683795,3.0,1,1,12,13,1,5.093750200806762,2,4,2,2,4,2,2,22.045407685048602,6,0.0,20.83266665599966,920.0,1,0,1,5,30.331501776206203,29.427877939124322,0.0,42.261093218230876,1.0,0.0,2.0,1.0,3.0,1.0,2,6.0,6,1.0,5,1,2.3978952727983707,2,2.0,608.0,5,5,2,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,3,4,1,0.0,9.0,2008.0,8,4,223500.0
4.0,4.2626798770413155,3,60.0,9550.0,1,1,0,3,0,0,0,6,2,2,0,5,7.0,2.23606797749979,9.797958971132712,6.4031242374328485,1,1,13,15,2,0.0,3,4,0,4,1,3,0,14.696938456699069,6,0.0,23.2379000772445,756.0,1,2,1,5,31.0,27.49545416973504,0.0,41.43669871020132,1.0,0.0,1.0,0.0,3.0,1.0,2,7.0,6,1.0,2,5,2.6390573296152584,3,3.0,642.0,5,5,2,0.0,3.58351893845611,0.0,0.0,0.0,0.0,3,4,1,0.0,2.0,2006.0,8,0,140000.0
5.0,4.110873864173311,3,84.0,14260.0,1,1,0,3,0,2,0,15,2,2,0,5,8.0,2.23606797749979,3.3166247903554,3.3166247903554,1,1,12,13,1,5.860786223465865,2,4,2,2,4,0,2,25.592967784139454,6,0.0,22.135943621178654,1145.0,1,0,1,5,33.83784863137726,32.449961479175904,0.0,46.88283267892417,1.0,0.0,2.0,1.0,4.0,1.0,2,9.0,6,1.0,5,1,2.4849066497880004,2,3.0,836.0,5,5,2,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,3,4,1,0.0,12.0,2008.0,8,4,250000.0
6.0,3.9318256327243257,3,85.0,14115.0,1,1,0,3,0,4,0,11,2,2,0,0,5.0,2.23606797749979,4.242640687119285,4.0,1,1,12,13,2,0.0,3,4,5,2,4,3,2,27.055498516937366,6,0.0,8.0,796.0,1,0,1,5,28.21347195933177,23.790754506740637,0.0,36.90528417449187,1.0,0.0,1.0,1.0,1.0,1.0,3,5.0,6,0.0,3,1,2.9444389791664403,3,2.0,480.0,5,5,2,3.713572066704308,3.4339872044851463,0.0,0.0,0.0,0.0,3,2,3,0.0,10.0,2009.0,8,4,143000.0
7.0,3.044522437723423,3,75.0,10084.0,1,1,3,3,0,4,0,21,2,2,0,2,8.0,2.23606797749979,2.6457513110645907,2.449489742783178,1,1,12,13,3,5.231108616854587,2,4,2,0,4,0,2,37.0,6,0.0,17.804493814764857,1686.0,1,0,1,5,41.15823125451335,0.0,0.0,41.15823125451335,1.0,0.0,2.0,0.0,3.0,1.0,2,7.0,6,1.0,2,1,2.0794415416798357,2,2.0,636.0,5,5,2,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,3,4,1,0.0,8.0,2007.0,8,4,307000.0
8.0,4.110873864173311,3,69.0,10382.0,1,1,0,3,0,0,0,14,4,2,0,5,7.0,2.449489742783178,6.164414002968976,6.164414002968976,1,1,6,6,3,5.484796933490655,3,4,1,2,4,2,0,29.30870177950569,1,0.0,14.696938456699069,1107.0,1,0,1,5,33.27160951922825,31.352830813181765,0.0,45.71651780264984,1.0,0.0,2.0,1.0,3.0,1.0,3,7.0,6,1.4142135623730951,5,1,3.6635616461296463,2,2.0,484.0,5,5,2,5.4638318050256105,5.14166355650266,0.0,0.0,0.0,0.0,3,4,3,0.0,11.0,2009.0,8,4,200000.0
9.0,3.9318256327243257,4,51.0,6120.0,1,1,3,3,0,4,0,17,0,2,0,0,7.0,2.23606797749979,8.94427190999916,7.810249675906654,1,1,3,15,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,30.854497241083024,952.0,1,2,1,1,31.96873472629156,27.422618401604176,0.0,42.118879377305376,0.0,0.0,2.0,0.0,2.0,1.0,3,8.0,2,1.4142135623730951,5,5,4.394449154672439,3,2.0,468.0,1,5,2,4.51085950651685,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,4.0,2008.0,8,0,129900.0
10.0,4.983606621708336,3,50.0,7420.0,1,1,3,3,0,0,0,3,0,0,1,1,5.0,2.449489742783178,8.48528137423857,7.810249675906654,1,1,8,8,2,0.0,3,4,0,4,4,3,2,29.171904291629644,6,0.0,11.832159566199232,991.0,1,0,1,5,32.817678162843876,0.0,0.0,32.817678162843876,1.0,0.0,1.0,0.0,2.0,1.0,3,5.0,6,1.4142135623730951,5,1,4.290459441148391,2,1.0,205.0,2,5,2,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,3,4,1,0.0,1.0,2008.0,8,4,118000.0
